Артикул;Наименование товара;Название ТР (ТС);ТК;Признак-категория;Доступное кол-во;Цена 1;Процент НДС;Скидка;Экономия в руб.;Цена со скидкой
1277748;Калькулятор настольный ПОЛНОРАЗ-Й Attache ATC-555-12F12раз.дв.пит.180x145мм;ТР Офисные принадлежности;Калькуляторы;О;3969;582;20;0,2;116,4;465,6
1384120;Бейдж 90х55мм Attache Economy, нелинованный металл зажим/булавка,18мкм;ТР Демонстрационное оборудование;Бейджи;D;10009;22,8;20;0,15;3,42;19,38
1288258;Магнитный держатель для досок Attache диам.30мм,5 шт/уп, ассорти;ТР Демонстрационное оборудование;Аксессуары для досок;П;2194;147;20;0,2;29,4;117,6
142338;Магнитный держатель для досок Attache диам.30мм,6 шт/уп;ТР Демонстрационное оборудование;Аксессуары для досок;О;13738;158;20;0,2;31,6;126,4
328746;Губка-стиратель для маркерных досок Attache Economy Губка резиновая;ТР Демонстрационное оборудование;Аксессуары для досок;П;5129;164;20;0,2;32,8;131,2
1638817;Доска магнитно-маркерная 100х150 Attache лак, алюмин. рама 1344504;ТР Демонстрационное оборудование;Доски для информации;Т;-1;6708;20;0,2;1341,6;5366,4
1634280;Демосистема настольная ProМega А4 10 панелей серый цвет 04200;ТР Демонстрационное оборудование;Демонстрационные системы;D;10;4071;20;0,2;814,2;3256,8
856688;Блок для записей в подставке ATTACHE ЭКОНОМ в стакане 9х9х5 белый Т;ТР Бумажная продукция;Бумага для заметок_стандартные размеры;Т;9656;106,08;20;0,15;15,912;90,168
383720;Стикеры Attache Selection куб 76х76, желтый неон 400 л;ТР Бумажная продукция;Бумага для заметок_стандартные размеры;О;2926;391;20;0,15;58,65;332,35
340534;Блок для записей ATTACHE запасной 8х8 300л (+/- 5%) цветной 80 г;ТР Бумажная продукция;Бумага для заметок_стандартные размеры;D;607;84,4;20;0,15;12,66;71,74
144630;Клейкие закладки пласт. 5цв.по 20л. 12ммх45 Attache '030951023;ТР Бумажная продукция;Бумага для заметок_стандартные размеры;D;416450;49,2;20;0,15;7,38;41,82
383742;Клейкие закладки бумаж. 4цв.по 50л. 50ммх20 Attache Selection;ТР Бумажная продукция;Бумага для заметок_стандартные размеры;О;24811;89,1;20;0,15;13,365;75,735
994473;Ежедневник недатированный синий бумвинил,128х200,128л, Attache Economy;ТР Бумажная продукция;Продукция для планирования;D;2416;186;20;0,15;27,9;158,1
206277;Планинг недатированный Attache Economy бумвинил синий 300х135, 56 л.21с11 П;ТР Бумажная продукция;Продукция для планирования;D;2649;268;20;0,15;40,2;227,8
16545;Журнал кассира-оперциониста КМ-4 48л. от 25.12.98 (гор.);ТР Бумажная продукция;Бухгалтерские бланки, книги;О;4822;215;20;0,15;32,25;182,75
